File,ChangedLines,BeforeMarkers,AfterMarkers,BeforeViet,AfterViet
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html",1,4,3,508,508
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\scripts\portal\01-data-config.js",1,25,24,1177,1177
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\scripts\portal\02-state-auth-ui.js",6,25,12,1423,1436
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\scripts\portal\05-workflow-panel.js",1,3,2,345,345
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\scripts\portal\90-qrcodegen.js",1,1,0,9,9
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\site-map.html",1,5,4,535,535
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\styles\portal.main.css",1,1,0,1,1
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html",1,15,14,1838,1838
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-002-quality-objectives.html",1,2,1,223,223
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-ehs-handbook.html",1,19,18,1143,1143
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html",1,11,10,1064,1064
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-epicor-handbook.html",1,7,6,943,943
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html",1,9,8,1029,1029
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-hr-handbook.html",1,35,34,1312,1312
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-it-handbook.html",1,7,6,950,950
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-production-handbook.html",1,8,7,1192,1192
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-quality-handbook.html",1,4,3,927,927
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-sales-and-customer-service-handbook.html",1,8,7,1034,1034
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-supply-chain-handbook.html",1,5,4,983,983
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-chief-executive-officer.html",1,35,34,2271,2271
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html",1,28,27,1873,1873
