"MissingUrl","Missing","Count","SuggestedPath","SuggestedBase","Score","Top2Score","Margin","Common"
"../../../05-Processes/11-PROC-QA/proc-qa-002-layered-process-audit.html","proc-qa-002-layered-process-audit.html","7","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-902-layered-process-audit-checklist.html","frm-902-layered-process-audit-checklist.html","0.75","0","0.75","layered process audit"
"../../../09-Annexes-References/04-ANNEX-OPS/annex-ops-001-dispatch-capacity-wip-rules.html","annex-ops-001-dispatch-capacity-wip-rules.html","4","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\","","1","0","1","dispatch capacity wip rules"
"../../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","proc-qa-004-final-inspection-coc-release.html","4","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-605-final-inspection-coc-and-shipment-release.html","sop-605-final-inspection-coc-and-shipment-release.html","0.8","0.75","0.05","final inspection coc release"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-020-escalation-matrix-and-sla.html","annex-qms-020-escalation-matrix-and-sla.html","4","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-005-escalation-and-sla-matrix.html","ref-005-escalation-and-sla-matrix.html","0.75","0","0.75","escalation matrix sla"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-024-semi-standards-and-csr-matrix.html","annex-qms-024-semi-standards-and-csr-matrix.html","4","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\02-ANNEX-Standards\ref-008-semi-and-csr-matrix.html","ref-008-semi-and-csr-matrix.html","0.75","0.5","0.25","semi csr matrix"
"../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","frm-qa-007-fai-report.html","3","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-311-fai-report.html","frm-311-fai-report.html","1","0.5","0.5","fai report"
"../../../09-Annexes-References/01-ANNEX-QMS/annex-qms-005-m365-lists-and-field-mapping.html","annex-qms-005-m365-lists-and-field-mapping.html","3","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-010-m365-lists-and-field-mapping.html","ref-010-m365-lists-and-field-mapping.html","0.8","0","0.8","m365 lists field mapping"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-016-climate-change-relevance-assessment.html","annex-qms-016-climate-change-relevance-assessment.html","3","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-124-climate-change-assessment-record.html","frm-124-climate-change-assessment-record.html","0.75","0.75","0","climate change assessment"
"../07-Forms-Records/11-FRM-QA/frm-qa-018-safety-critical-characteristics-register.html","frm-qa-018-safety-critical-characteristics-register.html","3","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-643-safety-special-characteristics-register.html","frm-643-safety-special-characteristics-register.html","0.75","0","0.75","safety characteristics register"
"../04-SOPs/sop-qms-020-continual-improvement-and-kaizen.html","sop-qms-020-continual-improvement-and-kaizen.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-903-continual-improvement-and-kaizen.html","sop-903-continual-improvement-and-kaizen.html","1","0","1","continual improvement kaizen"
