"MissingUrl","Count","MissingType","SuggestedBase","SuggestedPath","Score","Top2Score","Margin","Common"
"../../../07-Forms-Records/11-FRM-QA/frm-qa-006-qc-hold-log.html","9","frm","frm-413-hold-and-disposition-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\04-FRM-400\frm-413-hold-and-disposition-log.html","0.667","0.5","0.167","hold log"
"../../../09-Annexes-References/04-ANNEX-OPS/annex-ops-001-dispatch-capacity-wip-rules.html","4","annex","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\","1","0","1","dispatch capacity wip rules"
"../../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","4","proc","sop-605-final-inspection-coc-and-shipment-release.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-605-final-inspection-coc-and-shipment-release.html","0.8","0","0.8","final inspection coc release"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-024-semi-standards-and-csr-matrix.html","4","annex","ref-008-semi-and-csr-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\02-ANNEX-Standards\ref-008-semi-and-csr-matrix.html","0.75","0.5","0.25","semi csr matrix"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-020-escalation-matrix-and-sla.html","4","annex","ref-005-escalation-and-sla-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-005-escalation-and-sla-matrix.html","0.75","0","0.75","escalation matrix sla"
"../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","3","frm","frm-311-fai-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-311-fai-report.html","1","0.5","0.5","fai report"
"../../../09-Annexes-References/01-ANNEX-QMS/annex-qms-005-m365-lists-and-field-mapping.html","3","annex","ref-010-m365-lists-and-field-mapping.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-010-m365-lists-and-field-mapping.html","0.8","0","0.8","m365 lists field mapping"
"../07-Forms-Records/11-FRM-QA/frm-qa-018-safety-critical-characteristics-register.html","3","frm","frm-643-safety-special-characteristics-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-643-safety-special-characteristics-register.html","0.75","0","0.75","safety characteristics register"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-016-climate-change-relevance-assessment.html","3","annex","ref-007-climate-change-assessment.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\02-ANNEX-Standards\ref-007-climate-change-assessment.html","0.75","0","0.75","climate change assessment"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-017-fod-prevention-program.html","3","annex","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\07-WI-700\","0.667","0","0.667","fod prevention"
"../07-Forms-Records/12-FRM-QMS/frm-qms-003-management-review-minutes.html","2","frm","frm-911-management-review-minutes.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-911-management-review-minutes.html","1","0","1","management review minutes"
"../04-SOPs/sop-qms-020-continual-improvement-and-kaizen.html","2","sop","sop-903-continual-improvement-and-kaizen.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-903-continual-improvement-and-kaizen.html","1","0","1","continual improvement kaizen"
"../07-Forms-Records/12-FRM-QMS/frm-qms-011-lessons-learned-log.html","2","frm","frm-151-lessons-learned-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-151-lessons-learned-log.html","1","0","1","lessons learned log"
