"Missing","MissingUrl","Count","Candidate","CandidatePath","Score","Common"
"frm-qa-006-qc-hold-log.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-006-qc-hold-log.html","9","frm-413-hold-and-disposition-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\04-FRM-400\frm-413-hold-and-disposition-log.html","0.667","hold log"
"frm-qa-006-qc-hold-log.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-006-qc-hold-log.html","9","frm-708-environmental-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-708-environmental-log.html","0.5","log"
"frm-qa-006-qc-hold-log.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-006-qc-hold-log.html","9","frm-812-lighting-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\08-FRM-800\frm-812-lighting-log.html","0.5","log"
"frm-qa-006-qc-hold-log.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-006-qc-hold-log.html","9","frm-601-calibration-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-601-calibration-log.html","0.5","log"
"frm-qa-006-qc-hold-log.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-006-qc-hold-log.html","9","frm-211-complaint-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\02-FRM-200\frm-211-complaint-log.html","0.5","log"
"frm-qa-006-qc-hold-log.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-006-qc-hold-log.html","9","frm-512-downtime-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\05-FRM-500\frm-512-downtime-log.html","0.5","log"
"proc-qa-002-layered-process-audit.html","../../../05-Processes/11-PROC-QA/proc-qa-002-layered-process-audit.html","7","frm-902-layered-process-audit-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-902-layered-process-audit-checklist.html","0.75","layered process audit"
"frm-qms-022-document-data-change-notice.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-022-document-data-change-notice.html","6","sop-101-document-and-data-control.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-101-document-and-data-control.html","0.5","document data"
"frm-qms-022-document-data-change-notice.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-022-document-data-change-notice.html","6","frm-102-document-change-request.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-102-document-change-request.html","0.5","document change"
"annex-qms-003-audit-evidence-pack-master.html","../../../09-Annexes-References/01-ANNEX-QMS/annex-qms-003-audit-evidence-pack-master.html","6","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\","0.5","evidence pack"
"proc-ops-003-escalation-sla-and-wip.html","../../../05-Processes/08-PROC-OPS/proc-ops-003-escalation-sla-and-wip.html","6","ref-005-escalation-and-sla-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-005-escalation-and-sla-matrix.html","0.5","escalation sla"
"frm-qa-013-pfmea-lite.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-013-pfmea-lite.html","5","frm-132-pfmea-lite-aiag-format.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-132-pfmea-lite-aiag-format.html","0.5","pfmea lite"
"annex-ops-001-dispatch-capacity-wip-rules.html","../../../09-Annexes-References/04-ANNEX-OPS/annex-ops-001-dispatch-capacity-wip-rules.html","4","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\","1","dispatch capacity wip rules"
"proc-qa-004-final-inspection-coc-release.html","../../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","4","sop-605-final-inspection-coc-and-shipment-release.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-605-final-inspection-coc-and-shipment-release.html","0.8","final inspection coc release"
"annex-qms-020-escalation-matrix-and-sla.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-020-escalation-matrix-and-sla.html","4","ref-005-escalation-and-sla-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-005-escalation-and-sla-matrix.html","0.75","escalation matrix sla"
"proc-qa-004-final-inspection-coc-release.html","../../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","4","frm-642-final-inspection-and-coc-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-642-final-inspection-and-coc-register.html","0.75","final inspection coc"
