"Missing","Count","Candidate","CandidatePath","Score","Common"
"proc-qa-002-layered-process-audit.html","7","frm-902-layered-process-audit-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-902-layered-process-audit-checklist.html","0.6","layered process audit"
"proc-ops-003-escalation-sla-and-wip.html","6","ref-005-escalation-and-sla-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-005-escalation-and-sla-matrix.html","0.5","escalation sla and"
"annex-qms-020-escalation-matrix-and-sla.html","4","ref-005-escalation-and-sla-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-005-escalation-and-sla-matrix.html","0.667","escalation matrix and sla"
"annex-ops-001-dispatch-capacity-wip-rules.html","4","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\","0.667","dispatch capacity wip rules"
"annex-qms-024-semi-standards-and-csr-matrix.html","4","ref-008-semi-and-csr-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\02-ANNEX-Standards\ref-008-semi-and-csr-matrix.html","0.667","semi and csr matrix"
"proc-qa-004-final-inspection-coc-release.html","4","sop-605-final-inspection-coc-and-shipment-release.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-605-final-inspection-coc-and-shipment-release.html","0.571","final inspection coc release"
"proc-hse-001-incident-near-miss-management.html","4","sop-802-incident-near-miss-and-ehs.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-802-incident-near-miss-and-ehs.html","0.5","incident near miss"
"proc-qa-004-final-inspection-coc-release.html","4","frm-642-final-inspection-and-coc-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-642-final-inspection-and-coc-register.html","0.5","final inspection coc"
"annex-qms-024-semi-standards-and-csr-matrix.html","4","ref-003-as9100d-and-semi-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-003-as9100d-and-semi-matrix.html","0.5","semi and matrix"
"proc-pur-002-purchasing-and-supplier-control.html","4","sop-401-supplier-control-and-special-process.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-401-supplier-control-and-special-process.html","0.5","and supplier control"
"proc-pur-002-purchasing-and-supplier-control.html","4","sop-401-supplier-control-and-special-process.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-401-supplier-control-and-special-process.html","0.5","and supplier control"
"annex-dep-hr-001-hr.html","4","qms-man-001-qms-manual.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","0.5","001"
"annex-qms-005-m365-lists-and-field-mapping.html","3","ref-010-m365-lists-and-field-mapping.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-010-m365-lists-and-field-mapping.html","0.714","m365 lists and field mapping"
"frm-qa-007-fai-report.html","3","frm-311-fai-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-311-fai-report.html","0.667","fai report"
"annex-qms-016-climate-change-relevance-assessment.html","3","frm-124-climate-change-assessment-record.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-124-climate-change-assessment-record.html","0.6","climate change assessment"
"annex-qms-016-climate-change-relevance-assessment.html","3","ref-007-climate-change-assessment.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\02-ANNEX-Standards\ref-007-climate-change-assessment.html","0.6","climate change assessment"
"frm-qa-018-safety-critical-characteristics-register.html","3","frm-643-safety-special-characteristics-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-643-safety-special-characteristics-register.html","0.6","safety characteristics register"
"sop-qms-016-product-safety-and-conformity.html","3","sop-703-product-safety-conformity-and-fod-prevention.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\07-SOP-700\sop-703-product-safety-conformity-and-fod-prevention.html","0.571","product safety and conformity"
"annex-qms-017-fod-prevention-program.html","3","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\07-WI-700\","0.5","fod prevention"
"sop-qms-020-continual-improvement-and-kaizen.html","2","sop-903-continual-improvement-and-kaizen.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-903-continual-improvement-and-kaizen.html","0.8","continual improvement and kaizen"
"sop-qms-024-organizational-knowledge-management.html","2","sop-105-organizational-knowledge-management.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-105-organizational-knowledge-management.html","0.75","organizational knowledge management"
"frm-qms-011-lessons-learned-log.html","2","frm-151-lessons-learned-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-151-lessons-learned-log.html","0.75","lessons learned log"
"frm-qms-003-management-review-minutes.html","2","frm-911-management-review-minutes.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-911-management-review-minutes.html","0.75","management review minutes"
"sop-qms-002-quality-policy-objectives.html","2","pol-qms-002-quality-objectives.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-002-quality-objectives.html","0.75","002 quality objectives"
"wi-cnc-001-machine-type-quick-reference.html","2","wi-511-machine-type-quick-reference.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\wi-511-machine-type-quick-reference.html","0.667","machine type quick reference"
"proc-cnc-001-cnc-machining-execution.html","2","sop-502-cnc-machining-operations.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","0.6","cnc cnc machining"
"frm-qa-014-spc-capability-log.html","2","frm-631-spc-and-capability-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-631-spc-and-capability-log.html","0.6","spc capability log"
"sop-qms-009-first-article-inspection.html","2","sop-302-first-article-inspection-fai.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html","0.6","first article inspection"
"proc-cnc-001-cnc-machining-execution.html","2","sop-502-cnc-machining-operations.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","0.6","cnc cnc machining"
"proc-cnc-001-cnc-machining-execution.html","2","sop-502-cnc-machining-operations.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","0.6","cnc cnc machining"
