"SourceFile","OldLink","NewLink","Replacements"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","../08-Organization/05-Labor-Relations/annex-hr-lab-001-collective-bargaining-agreement.html","../../02-Tai-Lieu-He-Thong/03-Organization/05-Labor-Relations/annex-hr-lab-001-collective-bargaining-agreement.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","../08-Organization/01-Org-Chart/annex-org-001-org-chart-fullpage.html","../../02-Tai-Lieu-He-Thong/03-Organization/01-Org-Chart/annex-org-001-org-chart-fullpage.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../03-Policies-Objectives/pol-qms-001-quality-policy.html","../../02-Policies-Objectives/pol-qms-001-quality-policy.html","2"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/04-RACI-Authority/annex-qms-025-authority-matrix.html","../../03-Organization/04-RACI-Authority/annex-qms-025-authority-matrix.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/04-RACI-Authority/annex-qms-026-raci-master-matrix.html","../../03-Organization/04-RACI-Authority/annex-qms-026-raci-master-matrix.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/04-RACI-Authority/annex-qms-027-kpi-cascade-dictionary.html","../../03-Organization/04-RACI-Authority/annex-qms-027-kpi-cascade-dictionary.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/04-RACI-Authority/annex-qms-028-deputy-backup-matrix.html","../../03-Organization/04-RACI-Authority/annex-qms-028-deputy-backup-matrix.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../assets/app.js","../../../assets/app.js","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\01-Org-Chart\annex-org-001-org-chart-fullpage.html","../../assets/app.js","../../../../assets/app.js","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-job-001-org-raci-matrix.html","../../assets/app.js","../../../../assets/app.js","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","../../03-Policies-Objectives/pol-qms-001-quality-policy.html","../../../02-Policies-Objectives/pol-qms-001-quality-policy.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","../../assets/app.js","../../../../assets/app.js","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-026-raci-master-matrix.html","../../assets/app.js","../../../../assets/app.js","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-027-kpi-cascade-dictionary.html","../../03-Policies-Objectives/pol-qms-002-quality-objectives.html","../../../02-Policies-Objectives/pol-qms-002-quality-objectives.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-027-kpi-cascade-dictionary.html","../../assets/app.js","../../../../assets/app.js","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-028-deputy-backup-matrix.html","../../assets/app.js","../../../../assets/app.js","1"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\05-Labor-Relations\annex-hr-lab-001-collective-bargaining-agreement.html","../../assets/app.js","../../../../assets/app.js","1"
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-101-document-and-data-control.html","frm-101-master-document-register.html","../../../../04-Bieu-Mau/01-FRM-100/frm-101-master-document-register.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-101-document-and-data-control.html","frm-102-document-change-request.html","../../../../04-Bieu-Mau/01-FRM-100/frm-102-document-change-request.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-101-document-and-data-control.html","frm-103-document-issue-control.html","../../../../04-Bieu-Mau/01-FRM-100/frm-103-document-issue-control.html","1"
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-101-document-and-data-control.html","frm-104-document-implementation-checklist.html","../../../../04-Bieu-Mau/01-FRM-100/frm-104-document-implementation-checklist.html","1"
