"SourceFile","OldLink","NewLink","Target","Score"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","../08-Organization/05-Labor-Relations/annex-hr-lab-001-collective-bargaining-agreement.html","../../02-Tai-Lieu-He-Thong/03-Organization/05-Labor-Relations/annex-hr-lab-001-collective-bargaining-agreement.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\05-Labor-Relations\annex-hr-lab-001-collective-bargaining-agreement.html","135"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","../08-Organization/01-Org-Chart/annex-org-001-org-chart-fullpage.html","../../02-Tai-Lieu-He-Thong/03-Organization/01-Org-Chart/annex-org-001-org-chart-fullpage.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\01-Org-Chart\annex-org-001-org-chart-fullpage.html","135"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../03-Policies-Objectives/pol-qms-001-quality-policy.html","../../02-Policies-Objectives/pol-qms-001-quality-policy.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-001-quality-policy.html","117"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/04-RACI-Authority/annex-qms-025-authority-matrix.html","../../03-Organization/04-RACI-Authority/annex-qms-025-authority-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","135"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/04-RACI-Authority/annex-qms-026-raci-master-matrix.html","../../03-Organization/04-RACI-Authority/annex-qms-026-raci-master-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-026-raci-master-matrix.html","135"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/04-RACI-Authority/annex-qms-027-kpi-cascade-dictionary.html","../../03-Organization/04-RACI-Authority/annex-qms-027-kpi-cascade-dictionary.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-027-kpi-cascade-dictionary.html","135"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/04-RACI-Authority/annex-qms-028-deputy-backup-matrix.html","../../03-Organization/04-RACI-Authority/annex-qms-028-deputy-backup-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-028-deputy-backup-matrix.html","135"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../assets/app.js","../../../assets/app.js","C:\Users\TEST4\qms.hesem.com.vn\assets\app.js","152"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\01-Org-Chart\annex-org-001-org-chart-fullpage.html","../../assets/app.js","../../../../assets/app.js","C:\Users\TEST4\qms.hesem.com.vn\assets\app.js","152"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-job-001-org-raci-matrix.html","../../assets/app.js","../../../../assets/app.js","C:\Users\TEST4\qms.hesem.com.vn\assets\app.js","152"
