"File","LegacyBase","OldUrl","NewUrl","Replacements","Target"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","annex-eng-001-setup-sheet-and-tool-list-standard.html","../09-Annexes-References/03-ANNEX-ENG/annex-eng-001-setup-sheet-and-tool-list-standard.html","../04-Bieu-Mau/03-FRM-300/frm-302-setup-sheet.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-302-setup-sheet.html"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","annex-hr-001-competency-levels-and-certification-rules.html","../09-Annexes-References/07-ANNEX-HR/annex-hr-001-competency-levels-and-certification-rules.html","../10-Training-Academy/01-Competency-System/03-Matrices/training-matrix.html","1","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","03-job-descriptions","../08-Organization/03-Job-Descriptions","../08-Organization/03-Job-Descriptions/index.html","1","(index-fix)"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","annex-qa-007-surface-finish-vacuum-compatibility.html","../09-Annexes-References/02-ANNEX-QA/annex-qa-007-surface-finish-vacuum-compatibility.html","../../03-Tai-Lieu-Van-Hanh/01-SOPs/07-SOP-700/sop-702-contamination-control-and-cleanliness.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\07-SOP-700\sop-702-contamination-control-and-cleanliness.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","frm-mnt-002-crash-incident-report.html","../07-Forms-Records/07-FRM-MNT/frm-mnt-002-crash-incident-report.html","../../04-Bieu-Mau/05-FRM-500/frm-522-crash-report.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\05-FRM-500\frm-522-crash-report.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","frm-mnt-005-machine-history-card.html","../07-Forms-Records/07-FRM-MNT/frm-mnt-005-machine-history-card.html","../../04-Bieu-Mau/05-FRM-500/frm-524-machine-history-log.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\05-FRM-500\frm-524-machine-history-log.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","frm-qms-027-context-of-organization.html","../07-Forms-Records/12-FRM-QMS/frm-qms-027-context-of-organization.html","../../04-Bieu-Mau/01-FRM-100/frm-121-context-analysis-swot-pestle.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-121-context-analysis-swot-pestle.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","proc-sal-001-customer-communication-and-feedback.html","../05-Processes/12-PROC-SAL/proc-sal-001-customer-communication-and-feedback.html","../../03-Tai-Lieu-Van-Hanh/01-SOPs/02-SOP-200/sop-202-customer-complaint-feedback-rma-and-escape.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","wi-ops-014-shop-floor-environmental-monitoring.html","../06-Work-Instructions/02-WI-OPS/wi-ops-014-shop-floor-environmental-monitoring.html","../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\07-WI-700\"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","wi-ops-017-job-packet-quick-check-card.html","../06-Work-Instructions/02-WI-OPS/wi-ops-017-job-packet-quick-check-card.html","../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","wi-ops-019-ultrasonic-cleaning-standard-work.html","../06-Work-Instructions/02-WI-OPS/wi-ops-019-ultrasonic-cleaning-standard-work.html","../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\07-WI-700\"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-026-raci-master-matrix.html","proc-sal-001-customer-communication-and-feedback.html","../../05-Processes/12-PROC-SAL/proc-sal-001-customer-communication-and-feedback.html","../../../03-Tai-Lieu-Van-Hanh/01-SOPs/02-SOP-200/sop-202-customer-complaint-feedback-rma-and-escape.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-027-kpi-cascade-dictionary.html","annex-dep-eng-001-engineering.html","../02-Department-Handbooks/annex-dep-eng-001-engineering.html","../../../10-Training-Academy/01-Competency-System/03-Matrices/training-matrix-engineering.html","1","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-engineering.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-027-kpi-cascade-dictionary.html","annex-dep-fin-001-finance.html","../02-Department-Handbooks/annex-dep-fin-001-finance.html","../../../10-Training-Academy/01-Competency-System/03-Matrices/training-matrix-finance-hr.html","1","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-finance-hr.html"
