"File","LegacyBase","OldUrl","NewUrl","Replacements","Target"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\book.html","proc-ops-001-order-fulfillment.html","../05-Processes/08-PROC-OPS/proc-ops-001-order-fulfillment.html","../03-Tai-Lieu-Van-Hanh/01-SOPs/02-SOP-200/sop-201-order-fulfillment-rfq-to-cash.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-201-order-fulfillment-rfq-to-cash.html"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","frm-qa-010-gage-rr-study-record.html","../07-Forms-Records/11-FRM-QA/frm-qa-010-gage-rr-study-record.html","../04-Bieu-Mau/06-FRM-600/frm-611-grr-study-form.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-611-grr-study-form.html"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","proc-cnc-002-program-setup-release-control.html","../05-Processes/01-PROC-CNC/proc-cnc-002-program-setup-release-control.html","../03-Tai-Lieu-Van-Hanh/01-SOPs/05-SOP-500/sop-502-cnc-machining-operations.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","proc-eng-002-engineering-release-and-baseline-package.html","../05-Processes/02-PROC-ENG/proc-eng-002-engineering-release-and-baseline-package.html","../03-Tai-Lieu-Van-Hanh/01-SOPs/01-SOP-100/sop-106-change-and-configuration-management.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-106-change-and-configuration-management.html"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","proc-hr-001-competency-and-training-administration.html","../05-Processes/04-PROC-HR/proc-hr-001-competency-and-training-administration.html","../03-Tai-Lieu-Van-Hanh/01-SOPs/08-SOP-800/sop-801-competence-training-and-certification.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-801-competence-training-and-certification.html"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","proc-hse-001-incident-near-miss-management.html","../05-Processes/05-PROC-HSE/proc-hse-001-incident-near-miss-management.html","../03-Tai-Lieu-Van-Hanh/01-SOPs/08-SOP-800/sop-802-incident-near-miss-and-ehs.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-802-incident-near-miss-and-ehs.html"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","proc-ops-001-order-fulfillment.html","../05-Processes/08-PROC-OPS/proc-ops-001-order-fulfillment.html","../03-Tai-Lieu-Van-Hanh/01-SOPs/02-SOP-200/sop-201-order-fulfillment-rfq-to-cash.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-201-order-fulfillment-rfq-to-cash.html"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","proc-pla-002-dispatch-control-and-capacity-review.html","../05-Processes/09-PROC-PLA/proc-pla-002-dispatch-control-and-capacity-review.html","../03-Tai-Lieu-Van-Hanh/01-SOPs/05-SOP-500/sop-501-production-planning-scheduling-and-dispatch-control.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-501-production-planning-scheduling-and-dispatch-control.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","annex-qms-008-dashboard-kpi-dictionary-and-data-model.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-008-dashboard-kpi-dictionary-and-data-model.html","../../03-Tai-Lieu-Van-Hanh/03-Reference/03-ANNEX-Digital/ref-012-power-bi-deployment.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-012-power-bi-deployment.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","annex-qms-009-tier-meeting-cadence-and-escalation-standard-work.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-009-tier-meeting-cadence-and-escalation-standard-work.html","../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","annex-qms-019-m365-folder-structure-blueprint.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-019-m365-folder-structure-blueprint.html","../../03-Tai-Lieu-Van-Hanh/03-Reference/03-ANNEX-Digital/ref-010-m365-lists-and-field-mapping.html","3","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-010-m365-lists-and-field-mapping.html"
