"File","OldUrl","NewUrl","Replacements","Target"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\index.html","../09-Annexes-References/04-ANNEX-OPS/annex-ops-001-dispatch-capacity-wip-rules.html","../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-020-continual-improvement-and-kaizen.html","../../03-Tai-Lieu-Van-Hanh/01-SOPs/09-SOP-900/sop-903-continual-improvement-and-kaizen.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-903-continual-improvement-and-kaizen.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-024-organizational-knowledge-management.html","../../03-Tai-Lieu-Van-Hanh/01-SOPs/01-SOP-100/sop-105-organizational-knowledge-management.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-105-organizational-knowledge-management.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","../../03-Tai-Lieu-Van-Hanh/01-SOPs/05-SOP-500/sop-502-cnc-machining-operations.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/01-WI-CNC/wi-cnc-001-machine-type-quick-reference.html","../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-511-machine-type-quick-reference.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\wi-511-machine-type-quick-reference.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/02-FRM-ENG/frm-eng-005-semiconductor-part-classification.html","../../04-Bieu-Mau/03-FRM-300/frm-304-semiconductor-part-classification.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-304-semiconductor-part-classification.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","../../04-Bieu-Mau/03-FRM-300/frm-311-fai-report.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-311-fai-report.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-014-spc-capability-log.html","../../04-Bieu-Mau/06-FRM-600/frm-631-spc-and-capability-log.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-631-spc-and-capability-log.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-018-safety-critical-characteristics-register.html","../../04-Bieu-Mau/06-FRM-600/frm-643-safety-special-characteristics-register.html","3","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-643-safety-special-characteristics-register.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-002-internal-audit-checklist.html","../../04-Bieu-Mau/09-FRM-900/frm-901-internal-audit-checklist.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-901-internal-audit-checklist.html"
