File,Count
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\13-ANNEX-130-M365-Records-Control\annex-135-m365-operational-records-file-plan-by-department-role-and-job.html",1585
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\01-WI-100\wi-102-sharepoint-record-sites-libraries-and-permissions-click-by-click.html",811
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-26.html",7
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html",6
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\03-Tai-Lieu-Van-Hanh\03-Reference\08-ANNEX-800\annex-802-collective-bargaining-agreement.html",2
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\11-Glossary\dict-data.js",2
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-301-engineering-dfm-quoting-and-machining-planning.html",1
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-303-engineering-release-baseline-package-and-job-snapshot-control.html",1
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\10-Training-Academy\01-Competency-System\02-Levels\17-C17-CNC-Setup-CAM\C17-L4.html",1
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-06.html",1
"C:\Users\TEST4\qms.hesem.com.vn\.claude\worktrees\quirky-brahmagupta\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-07.html",1
